cty,name,kfr_native_rA_gP_pall,kfr_native_rA_gP_pall_l,kfr_native_rA_gP_p100,kfr_native_rA_gP_p100_l,kfr_native_rA_gP_p75,kfr_native_rA_gP_p75_l,kfr_native_rA_gP_p25,kfr_native_rA_gP_p25_l,kfr_native_rA_gP_p1,kfr_native_rA_gP_p1_l,kfr_native_rA_gP_p50,kfr_native_rA_gP_p50_l,kfr_native_rA_gF_pall,kfr_native_rA_gF_pall_l,kfr_native_rA_gF_p100,kfr_native_rA_gF_p100_l,kfr_native_rA_gF_p75,kfr_native_rA_gF_p75_l,kfr_native_rA_gF_p25,kfr_native_rA_gF_p25_l,kfr_native_rA_gF_p1,kfr_native_rA_gF_p1_l,kfr_native_rA_gF_p50,kfr_native_rA_gF_p50_l,kfr_native_rA_gM_pall,kfr_native_rA_gM_pall_l,kfr_native_rA_gM_p100,kfr_native_rA_gM_p100_l,kfr_native_rA_gM_p75,kfr_native_rA_gM_p75_l,kfr_native_rA_gM_p25,kfr_native_rA_gM_p25_l,kfr_native_rA_gM_p1,kfr_native_rA_gM_p1_l,kfr_native_rA_gM_p50,kfr_native_rA_gM_p50_l,kfr_native_rP_gP_pall,kfr_native_rP_gP_pall_l,kfr_native_rP_gP_p100,kfr_native_rP_gP_p100_l,kfr_native_rP_gP_p75,kfr_native_rP_gP_p75_l,kfr_native_rP_gP_p25,kfr_native_rP_gP_p25_l,kfr_native_rP_gP_p1,kfr_native_rP_gP_p1_l,kfr_native_rP_gP_p50,kfr_native_rP_gP_p50_l,kfr_native_rP_gF_pall,kfr_native_rP_gF_pall_l,kfr_native_rP_gF_p100,kfr_native_rP_gF_p100_l,kfr_native_rP_gF_p75,kfr_native_rP_gF_p75_l,kfr_native_rP_gF_p25,kfr_native_rP_gF_p25_l,kfr_native_rP_gF_p1,kfr_native_rP_gF_p1_l,kfr_native_rP_gF_p50,kfr_native_rP_gF_p50_l,kfr_native_rP_gM_pall,kfr_native_rP_gM_pall_l,kfr_native_rP_gM_p100,kfr_native_rP_gM_p100_l,kfr_native_rP_gM_p75,kfr_native_rP_gM_p75_l,kfr_native_rP_gM_p25,kfr_native_rP_gM_p25_l,kfr_native_rP_gM_p1,kfr_native_rP_gM_p1_l,kfr_native_rP_gM_p50,kfr_native_rP_gM_p50_l,kfr_native_rB_gP_pall,kfr_native_rB_gP_pall_l,kfr_native_rB_gP_p100,kfr_native_rB_gP_p100_l,kfr_native_rB_gP_p75,kfr_native_rB_gP_p75_l,kfr_native_rB_gP_p25,kfr_native_rB_gP_p25_l,kfr_native_rB_gP_p1,kfr_native_rB_gP_p1_l,kfr_native_rB_gP_p50,kfr_native_rB_gP_p50_l,kfr_native_rB_gF_pall,kfr_native_rB_gF_pall_l,kfr_native_rB_gF_p100,kfr_native_rB_gF_p100_l,kfr_native_rB_gF_p75,kfr_native_rB_gF_p75_l,kfr_native_rB_gF_p25,kfr_native_rB_gF_p25_l,kfr_native_rB_gF_p1,kfr_native_rB_gF_p1_l,kfr_native_rB_gF_p50,kfr_native_rB_gF_p50_l,kfr_native_rB_gM_pall,kfr_native_rB_gM_pall_l,kfr_native_rB_gM_p100,kfr_native_rB_gM_p100_l,kfr_native_rB_gM_p75,kfr_native_rB_gM_p75_l,kfr_native_rB_gM_p25,kfr_native_rB_gM_p25_l,kfr_native_rB_gM_p1,kfr_native_rB_gM_p1_l,kfr_native_rB_gM_p50,kfr_native_rB_gM_p50_l,kfr_native_rW_gP_pall,kfr_native_rW_gP_pall_l,kfr_native_rW_gP_p100,kfr_native_rW_gP_p100_l,kfr_native_rW_gP_p75,kfr_native_rW_gP_p75_l,kfr_native_rW_gP_p25,kfr_native_rW_gP_p25_l,kfr_native_rW_gP_p1,kfr_native_rW_gP_p1_l,kfr_native_rW_gP_p50,kfr_native_rW_gP_p50_l,kfr_native_rW_gF_pall,kfr_native_rW_gF_pall_l,kfr_native_rW_gF_p100,kfr_native_rW_gF_p100_l,kfr_native_rW_gF_p75,kfr_native_rW_gF_p75_l,kfr_native_rW_gF_p25,kfr_native_rW_gF_p25_l,kfr_native_rW_gF_p1,kfr_native_rW_gF_p1_l,kfr_native_rW_gF_p50,kfr_native_rW_gF_p50_l,kfr_native_rW_gM_pall,kfr_native_rW_gM_pall_l,kfr_native_rW_gM_p100,kfr_native_rW_gM_p100_l,kfr_native_rW_gM_p75,kfr_native_rW_gM_p75_l,kfr_native_rW_gM_p25,kfr_native_rW_gM_p25_l,kfr_native_rW_gM_p1,kfr_native_rW_gM_p1_l,kfr_native_rW_gM_p50,kfr_native_rW_gM_p50_l,kfr_native_rH_gP_pall,kfr_native_rH_gP_pall_l,kfr_native_rH_gP_p100,kfr_native_rH_gP_p100_l,kfr_native_rH_gP_p75,kfr_native_rH_gP_p75_l,kfr_native_rH_gP_p25,kfr_native_rH_gP_p25_l,kfr_native_rH_gP_p1,kfr_native_rH_gP_p1_l,kfr_native_rH_gP_p50,kfr_native_rH_gP_p50_l,kfr_native_rH_gF_pall,kfr_native_rH_gF_pall_l,kfr_native_rH_gF_p100,kfr_native_rH_gF_p100_l,kfr_native_rH_gF_p75,kfr_native_rH_gF_p75_l,kfr_native_rH_gF_p25,kfr_native_rH_gF_p25_l,kfr_native_rH_gF_p1,kfr_native_rH_gF_p1_l,kfr_native_rH_gF_p50,kfr_native_rH_gF_p50_l,kfr_native_rH_gM_pall,kfr_native_rH_gM_pall_l,kfr_native_rH_gM_p100,kfr_native_rH_gM_p100_l,kfr_native_rH_gM_p75,kfr_native_rH_gM_p75_l,kfr_native_rH_gM_p25,kfr_native_rH_gM_p25_l,kfr_native_rH_gM_p1,kfr_native_rH_gM_p1_l,kfr_native_rH_gM_p50,kfr_native_rH_gM_p50_l,kfr_native_rNA_gP_pall,kfr_native_rNA_gP_pall_l,kfr_native_rNA_gP_p100,kfr_native_rNA_gP_p100_l,kfr_native_rNA_gP_p75,kfr_native_rNA_gP_p75_l,kfr_native_rNA_gP_p25,kfr_native_rNA_gP_p25_l,kfr_native_rNA_gP_p1,kfr_native_rNA_gP_p1_l,kfr_native_rNA_gP_p50,kfr_native_rNA_gP_p50_l,kfr_native_rNA_gF_pall,kfr_native_rNA_gF_pall_l,kfr_native_rNA_gF_p100,kfr_native_rNA_gF_p100_l,kfr_native_rNA_gF_p75,kfr_native_rNA_gF_p75_l,kfr_native_rNA_gF_p25,kfr_native_rNA_gF_p25_l,kfr_native_rNA_gF_p1,kfr_native_rNA_gF_p1_l,kfr_native_rNA_gF_p50,kfr_native_rNA_gF_p50_l,kfr_native_rNA_gM_pall,kfr_native_rNA_gM_pall_l,kfr_native_rNA_gM_p100,kfr_native_rNA_gM_p100_l,kfr_native_rNA_gM_p75,kfr_native_rNA_gM_p75_l,kfr_native_rNA_gM_p25,kfr_native_rNA_gM_p25_l,kfr_native_rNA_gM_p1,kfr_native_rNA_gM_p1_l,kfr_native_rNA_gM_p50,kfr_native_rNA_gM_p50_l
cty46035,"Davison County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55475,59184,87730,81139,64969,68747,43163,47918,32464,37900,53912,58772,58980,61376,95467,88134,69783,72981,46163,49011,35179,38458,57591,61029,52346,57333,81048,76579,60563,65354,40325,45786,29855,35696,50541,56318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57369,60816,90504,79128,66847,68613,45942,50925,34648,41018,55598,60006,60367,63249,95889,85629,70451,72955,48478,52369,36971,41877,58499,62514,54622,58548,84650,75223,62796,65452,43156,48784,32122,38761,52387,57635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19835,,56548,,39983,,21077,,9133,,29966,,,,,,,,,,,,,,,,,,,,,,,,
cty35055,"Taos County, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35191,34500,45083,55046,39691,45959,33306,30413,29476,21755,36676,38717,38779,34447,35582,61869,37113,49213,39080,29466,40306,19398,38036,39521,31951,34488,47184,49828,38972,43335,29351,31230,23419,23935,34498,37987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55744,43540,53875,62884,55561,53572,57602,38368,59065,29389,56569,46163,61926,39827,54810,57470,60059,48523,66694,33893,71518,25553,63338,41198,50365,47797,63018,69859,53410,59283,43681,41939,37590,31452,48447,51068,33764,34391,41050,59365,36889,46748,32778,31076,30146,20282,34758,38505,36884,34475,36262,71483,36695,51463,37126,30041,37415,17214,36918,39713,30668,34539,41448,51186,35655,43355,29733,31801,25989,22708,32622,37513,20251,17628,54593,25086,34533,21557,20171,16635,12169,13573,27467,18987,,19552,,42232,,32233,,18874,,10398,,25322,,16184,,13250,,14386,,15960,,17032,,15194
cty38071,"Ramsey County, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56114,60747,100596,96244,70344,75491,43569,44688,31009,31072,56591,60244,59402,63126,102720,115804,72051,82891,45460,43466,33398,28062,58205,62237,53273,58697,97793,82704,68264,69036,41447,45914,28446,34383,54699,58256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61432,66295,89434,85758,69985,74143,51811,54782,41664,43986,60378,64755,61735,70467,106839,101905,73630,82100,47457,53525,34267,39912,59224,67347,61065,62809,76433,74393,66405,67776,55864,55777,49282,48059,61056,62295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20958,20383,1062314,60830,128041,42225,29020,21834,0,9096,63223,31333,,19746,,1062314,,86894,,27247,,22,,50114,,19313,,0,,762,,18915,,30304,,10940
cty46071,"Jackson County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49826,52211,80561,82850,62208,68352,43858,44855,34562,33820,53015,56943,47223,53378,75443,1062314,57747,109344,40533,37051,31889,13516,48991,67429,,52024,,56448,,54392,,50219,,47640,,52589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56789,55881,70542,90819,61737,72629,52570,45386,46912,31465,57017,58880,,59453,,1062314,,121436,,42405,,16094,,73263,,54103,,71519,,62406,,46875,,37417,,55133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty46137,"Ziebach County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35615,40496,53886,116168,44823,78613,34846,35076,29090,16420,40031,55919,34726,46241,62546,117437,48963,82112,35283,41100,27937,25088,42144,60428,34509,34438,43730,100851,40162,70019,35724,29529,32964,9525,38123,49743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69884,65732,40422,74807,54180,70805,75174,63301,93838,58442,63937,67312,,71383,,83218,,78907,,70936,,66142,,75046,,58296,,72398,,66477,,55625,,48559,,61535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13208,23777,15002,113905,13715,64622,12546,26324,11808,5298,13153,42277,,28754,,180954,,79901,,32746,,11186,,51638,,19119,,86163,,52659,,22256,,3392,,35704
cty35053,"Socorro County, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34453,37643,83126,84598,53238,62143,27519,30417,13768,15017,40197,46194,36426,41795,96950,111275,58751,75145,28760,33072,13938,15719,42912,52542,32532,33074,71450,66172,47846,51062,25681,27122,13004,13644,37093,39977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45783,50692,121262,83965,61990,65502,26097,38446,4931,24127,41845,51685,47338,60269,137264,106280,64374,78882,25900,43420,3875,27518,42321,59895,44481,44478,88587,68878,54659,55083,28361,33879,12722,20687,40567,44917,34816,33698,75606,86507,49929,59471,30904,31088,19889,13718,39545,43723,37006,38370,91978,104531,56584,68309,33381,35102,20599,17933,43504,49164,33035,27391,67531,60536,45565,45702,27795,26087,17242,10951,36117,35607,15239,20840,8682,79704,12796,51404,15824,24284,17655,8215,14288,36364,,20456,,66042,,45752,,24028,,11068,,34018,,21828,,89881,,55376,,24454,,6354,,37934
cty31157,"Scotts Bluff County, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49608,50490,81163,73695,59966,61683,39667,41899,29401,32198,49705,52149,50040,51726,92015,73651,63633,62467,38701,44175,26928,35687,50579,53413,49228,49199,71311,73762,56625,61076,41258,39896,32947,28921,49165,51177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53031,54588,80794,71637,61234,62568,43462,47258,33505,38504,51735,55127,54353,54343,93749,71262,65423,62232,41980,47109,29744,39042,52482,54606,51822,54853,70553,72016,57450,62954,44643,47450,36932,38017,50836,55697,37797,39902,64703,71636,48651,55066,35512,35588,27857,23191,41588,44557,36475,45026,52475,83632,42899,63645,34665,41536,29555,29657,38521,51337,40427,34751,80777,66095,55773,49665,36105,28677,25496,13129,45033,38700,,15916,,47646,,34339,,17751,,6509,,25683,,,,,,,,,,,,,,11606,,0,,0,,9596,,22618,,23
cty46129,"Walworth County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55598,62654,96558,96108,70952,78843,46968,51792,35486,39385,58808,65794,57886,63765,117075,107831,78139,83531,47826,50536,34493,37014,62295,66766,54155,61749,88074,84006,67616,72739,46881,52730,36398,42352,57410,63634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59757,69553,91384,80529,71470,75120,52942,65194,42599,58885,61693,70462,62023,69911,115602,90347,79791,79754,52819,62026,39192,52381,65077,70917,57827,68961,78009,72045,65759,71026,53258,69005,45671,67519,59361,70138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14749,25379,63224,94121,33931,57337,14586,24848,1657,6023,24313,38876,,26919,,161227,,74562,,28069,,4389,,46764,,24273,,85629,,51486,,20570,,961,,34340
cty27029,"Clearwater County, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53645,57456,82721,88019,64627,72728,46293,48027,37044,36549,55472,60777,56375,57237,83051,83565,66993,70792,50457,49870,42195,40388,58684,60458,50903,57548,83315,93454,62891,74738,42500,45297,32076,31377,52796,60752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55968,60786,80469,85545,65078,72970,50145,52357,41556,41094,57226,62897,59312,60737,83752,77915,68401,69579,53490,55136,45020,47243,60495,62400,52924,61061,78547,93437,62062,76166,46318,49565,37171,35008,53851,63383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19327,,74761,,47995,,21725,,5096,,33639,,19430,,,,,,23206,,11027,,32557,,,,,,,,,,,,
cty46031,"Corson County, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47340,39820,114684,70058,75165,56844,43952,35865,29835,25287,58968,46694,53225,39342,202326,55537,90258,48617,48900,36703,32197,30608,68079,42889,39911,39924,76725,77714,56990,60894,37579,34611,27276,20970,47408,48365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62610,53261,115379,57621,84038,55880,59434,52542,46115,50319,70935,54337,66425,52733,108226,41204,84576,46411,64390,58360,53022,67423,73813,51764,55544,52214,101469,79133,74837,67282,51764,47651,39233,36207,62683,57978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15042,19778,9693,52783,11557,37606,13042,19610,13870,7908,12291,28149,7283,19978,2470,0,5131,3508,7232,19213,8491,29041,6177,12382,19104,19757,8531,93332,14379,50944,19724,15035,22991,0,16809,31045
