"cz","Name","Household_Income_for_Immigrants_rP_gP_pall"
"cz17000","Pikeville, KY & WV",76250
"cz21004","Rhinelander, WI",70698
"cz34304","Sheridan, MT & WY",66528
"cz27901","Hastings, NE",65510
"cz4701","Greenwood, MS",65098
"cz4003","Ruston, LA",64682
"cz24600","Farmington, MO",64669
"cz4103","El Dorado, AR",64249
"cz22002","Iowa Falls, IA",62716
"cz26605","Aberdeen, SD",62119
"cz10801","Tuscaloosa, AL",62094
"cz21802","Decorah, IA",62001
"cz12001","Big Rapids, MI",61916
"cz26201","Bismarck, ND",61574
"cz26703","Thief River Falls, MN",61262
"cz30501","Woodward, OK",61018
"cz16701","Elkins, WV",60861
"cz27201","Sioux Center, IA",60233
"cz34603","Casper, WY",60209
"cz18202","St. Marys, PA",59866
"cz28102","Nebraska City, NE",59141
"cz5800","Dickson, TN",58923
"cz26412","Williston, ND",58766
"cz12903","Danville, KY",58680
"cz16000","Mansfield, OH",58581
"cz11201","Bluefield, VA & WV",58339
"cz16901","Charleston, WV",57978
"cz28306","North Platte, NE",57933
"cz19500","Toms River, NJ",57892
"cz11302","Baltimore, MD",57694
"cz16300","Pittsburgh, PA",57647
"cz4702","Clarksdale, MS",57606
"cz18600","Albany, NY",57428
"cz39201","La Grande, OR",57150
"cz17900","Union, NY & PA",57038
"cz18900","Williamsport, PA",56922
"cz23200","Dubuque, IA & IL",56778
"cz35402","Cortez, CO & UT",56640
"cz24802","Springfield, IL",56509
"cz21002","Houghton, MI",56502
"cz19600","Newark, NJ & NY",56322
"cz12701","Cincinnati, KY & OH",56280
"cz15000","Canton, OH",56213
"cz4901","Jackson, TN",56060
"cz37800","San Francisco, CA",56041
"cz26304","Minot, ND",55917
"cz3500","Baton Rouge, LA",55905
"cz1702","Henderson, NC",55793
"cz11304","Washington DC, DC & MD & VA",55718
"cz37500","San Jose, CA",55370
"cz4302","Searcy, AR",55336
"cz3400","Houma, LA",55232
"cz26001","Roseau, MN",55047
"cz23400","Bloomington, IL",54978
"cz35500","Gallup, AZ & NM",54958
"cz14700","Evansville, IL & IN",54931
"cz17600","Charlottesville, VA",54848
"cz24701","St. Louis, IL & MO",54798
"cz30401","Stillwater, OK",54743
"cz15800","Athens, OH & WV",54672
"cz23802","Clinton, IA",54459
"cz2300","Lynchburg, VA",54283
"cz27102","Marshall, MN",54207
"cz16702","Morgantown, WV",54032
"cz6200","Florence, AL & TN",53597
"cz13502","Defiance, OH",53574
"cz31402","Pecos, TX",53517
"cz19902","Easton, MD",53493
"cz3600","Alexandria, LA",53483
"cz20600","Manchester, ME & NH",53381
"cz9800","Auburn, AL",53278
"cz9002","Milledgeville, GA",53234
"cz37903","Mammoth Lakes, CA",53095
"cz16600","Roanoke, VA & WV",53081
"cz19800","Wilmington, DE & MD",52962
"cz15300","Parkersburg, OH & WV",52901
"cz1001","Boone, NC & TN",52894
"cz25401","Paducah, IL & KY",52871
"cz11600","Detroit, MI",52863
"cz17502","Winchester, VA & WV",52780
"cz1701","Raleigh, NC",52763
"cz24900","Edwardsville, IL",52694
"cz23100","Madison, WI",52677
"cz30904","Pampa, TX",52544
"cz36401","Steamboat Springs, CO",52543
"cz9003","Dublin, GA",52385
"cz9302","Toccoa, GA",52339
