"cz","Name","Household_Income_for_U.S._Natives_rP_gP_pall"
"cz26410","Dickinson, ND",71230
"cz26403","Bowman, ND",70820
"cz26202","East Grant UT, ND",70193
"cz26412","Williston, ND",69320
"cz26405","Scobey, MT",68251
"cz26204","Steele, ND",67413
"cz27010","Miller, SD",64341
"cz27201","Sioux Center, IA",64113
"cz26201","Bismarck, ND",63800
"cz26302","Carrington, ND",63424
"cz39204","Condon, OR",63370
"cz26702","Grafton, MN & ND",63277
"cz26401","Ekalaka, MT & SD",63077
"cz29102","Superior, NE",62765
"cz26411","Sidney, MT & ND",62251
"cz26803","Jamestown, ND",61723
"cz21202","Redwood Falls, MN",61589
"cz26601","Milbank, MN & SD",61586
"cz27504","Carroll, IA",61493
"cz26802","Lisbon, ND",61390
"cz26305","Rugby, ND",61275
"cz29008","Center, KS",61269
"cz26304","Minot, ND",61190
"cz27802","Columbus, NE",61173
"cz27301","Spencer, IA",61091
"cz26409","Glendive, MT & ND",60992
"cz27102","Marshall, MN",60675
"cz27401","Storm Lake, IA",60567
"cz26203","Linton, ND",60478
"cz29201","Hiawatha, KS",60464
"cz26801","Fargo, MN & ND",60379
"cz27902","York, NE",60201
"cz21201","Hutchinson, MN",60150
"cz27101","Willmar, MN",60104
"cz19600","Newark, NJ & NY",60087
"cz27202","Worthington, IA & MN",59802
"cz27005","Yankton, NE & SD",59633
"cz21301","Mankato, MN",59598
"cz21701","Rochester, MN",59561
"cz26502","Madison, SD",59298
"cz21400","St. Cloud, MN",59250
"cz29103","Beloit, KS",59242
"cz26604","Mobridge, SD",59199
"cz26404","Lemmon, ND & SD",59149
"cz26703","Thief River Falls, MN",59102
"cz21802","Decorah, IA",59070
"cz23200","Dubuque, IA & IL",59025
"cz20500","Boston, MA",58977
"cz20402","Nantucket, MA",58943
"cz26501","Brookings, SD",58884
"cz26804","Cooperstown, ND",58825
"cz31003","Scott City, KS",58822
"cz36402","Vernal, UT",58806
"cz27801","Columbus-Norfolk, NE",58631
"cz21302","Owatonna, MN",58541
"cz21501","Minneapolis, MN & WI",58509
"cz28604","Colby, KS",58462
"cz31005","Perryton, TX",58422
"cz26407","Plentywood, MT",58394
"cz26704","Grand Forks, MN & ND",58388
"cz19500","Toms River, NJ",58270
"cz26901","Fergus Falls, MN",58247
"cz27503","Atlantic, IA",58076
"cz28305","Broken Bow, NE",57764
"cz27008","Parkston, SD",57440
"cz28002","West Point, NE",57376
"cz36404","Rock Springs, UT & WY",57306
"cz26402","Baker, MT",57283
"cz29006","Hays, KS",57274
"cz27004","Winner, SD",57210
"cz19400","New York, NY",57162
"cz27603","Southwest Jackson UT, SD",57080
"cz27006","Mitchell, SD",57011
"cz26605","Aberdeen, SD",56982
"cz34601","Gillette, WY",56898
"cz27901","Hastings, NE",56897
"cz22001","Waterloo, IA",56865
"cz22002","Iowa Falls, IA",56683
"cz35905","Loa, UT",56416
"cz27302","Fairmont, IA & MN",56401
"cz26503","Sioux Falls, SD",56379
"cz20901","Bridgeport, CT",56239
"cz27011","Pierre, SD",56229
"cz28601","Oberlin, KS",56192
"cz22601","Green Bay, WI",56110
"cz27002","Ord, NE",56034
"cz36401","Steamboat Springs, CO",56033
"cz28102","Nebraska City, NE",56023
"cz27501","Des Moines, IA",55967
"cz22400","Sheboygan, WI",55940
"cz30605","Van Horn, TX",55796
"cz26504","Watertown, SD",55731
"cz31002","Ulysses, KS",55443
"cz26902","Little Falls, MN",55403
"cz28603","Phillipsburg, KS",55381
"cz22200","Cedar Rapids, IA",55343
"cz22500","Oshkosh, WI",55338
"cz29202","Marysville, KS",55310
"cz27703","Torrington, WY",55304
"cz23000","Monroe, WI",55259
"cz36200","Logan, ID & UT",55257
"cz21801","Mason City, IA",55141
"cz28609","Lexington, NE",55136
"cz27402","Fort Dodge, IA",55073
"cz27001","O'Neill, NE",55070
"cz21702","Austin, MN",55069
"cz36403","Soda Springs, ID",54986
"cz28607","McCook, NE",54948
"cz23100","Madison, WI",54927
"cz31102","La Grange, TX",54913
"cz27903","Grand Island, NE",54882
"cz28608","Kearney, NE",54782
"cz21900","Marshalltown, IA",54727
"cz29101","Concordia, KS",54700
"cz28306","North Platte, NE",54600
"cz36000","Provo, UT",54530
"cz34604","Lusk, WY",54513
"cz19000","Allentown, PA",54484
"cz28101","Lincoln, NE",54470
"cz29007","Township 11, KS",54318
"cz28504","Burlington, CO",54318
"cz28304","Valentine, NE",54308
"cz34603","Casper, WY",54229
"cz28001","Sioux City, IA & NE & SD",54183
"cz22800","Eau Claire, MN & WI",54128
"cz22100","Iowa City, IA",54038
"cz22700","Wausau, WI",53979
"cz27007","Huron, SD",53967
"cz29302","Newton, KS",53962
"cz31401","Midland, TX",53953
"cz26001","Roseau, MN",53922
"cz28201","Red Oak, IA",53913
"cz28605","Goodland, KS",53849
"cz29001","Pratt, KS",53827
"cz28606","Wano, KS & NE",53605
"cz28301","Sterling, CO",53594
"cz32403","Snyder, TX",53593
"cz36100","Salt Lake City, UT",53566
"cz23802","Clinton, IA",53560
"cz34305","Miles City, MT",53481
"cz19100","Reading, PA",53436
"cz27003","Ainsworth, NE",53413
"cz11304","Washington DC, DC & MD & VA",53382
"cz19300","Poughkeepsie, NY",53290
"cz38402","Pullman, ID & WA",53287
"cz13400","Lima, OH",53254
"cz16300","Pittsburgh, PA",53071
"cz28202","Omaha, IA & NE",53037
"cz31402","Pecos, TX",52947
"cz34301","Cody, WY",52891
"cz18600","Albany, NY",52833
"cz19700","Philadelphia, NJ & PA",52802
"cz26408","Glasgow, MT",52798
"cz26602","Sisseton, SD",52787
"cz32603","Seymour, TX",52751
"cz30904","Pampa, TX",52741
"cz23400","Bloomington, IL",52720
"cz28704","Laramie, CO & WY",52702
"cz29505","Polk, MO",52677
"cz31004","Liberal, KS & OK",52652
"cz27701","Scottsbluff, NE",52626
"cz22900","La Crosse, MN & WI",52623
"cz20401","Providence, MA & RI",52621
"cz34302","Worland, WY",52577
"cz20600","Manchester, ME & NH",52488
"cz28302","Ogallala, CO & NE",52418
"cz37800","San Francisco, CA",52397
"cz37500","San Jose, CA",52337
"cz20403","Oak Bluffs, MA",52223
"cz26002","Duluth, MN & WI",52146
"cz24300","Chicago, IL",52146
"cz35904","Richfield, UT",52101
"cz23801","Davenport, IA & IL",52013
"cz28800","Fort Collins, CO",51915
"cz22300","Ottumwa, IA",51856
"cz38502","Wenatchee, WA",51832
"cz37903","Mammoth Lakes, CA",51818
"cz36503","Lakeview, OR",51818
"cz28501","Springfield, CO",51817
"cz14700","Evansville, IL & IN",51796
"cz29003","Dodge City, KS",51747
"cz31006","Guymon, KS & OK & TX",51742
"cz27702","Cheyenne, NE & WY",51651
"cz30501","Woodward, OK",51650
"cz35902","Price, UT",51627
"cz34403","Helena, MT",51516
"cz24100","Milwaukee, WI",51472
"cz19200","Harrisburg, PA",51438
"cz27012","Gettysburg, SD",51430
"cz34303","Riverton, WY",51398
"cz21502","Pine City, MN",51368
"cz37700","Santa Rosa, CA",51355
"cz30502","Enid, OK",51349
"cz28702","Glenwood Springs, CO",51338
"cz29402","Emporia, KS",51267
"cz30905","Wellington, TX",51223
"cz23600","Burlington, IA & IL & MO",51160
"cz28900","Denver, CO",51150
"cz18202","St. Marys, PA",51138
"cz35702","Burley, ID",51104
"cz21600","Brainerd, MN",51102
"cz31900","Pearland, TX",51072
"cz21102","Amery, WI",51069
"cz23900","Peoria, IL",50924
"cz20800","Springfield, MA",50922
"cz34304","Sheridan, MT & WY",50915
"cz31304","Mason, TX",50903
"cz32503","Haskell, TX",50890
"cz34404","Butte-Silver Bow, MT",50801
"cz23302","Douglas, IL",50770
"cz34308","Billings, MT",50749
"cz33801","Elk City, OK",50729
"cz32401","Big Spring, TX",50687
"cz21002","Houghton, MI",50583
"cz25500","Centralia, IL",50550
"cz29004","Great Bend, KS",50522
"cz18800","Scranton, PA",50520
"cz26701","Bemidji, MN",50504
"cz18000","Buffalo, NY",50492
"cz37601","Elko, NV",50437
"cz31101","Victoria, TX",50423
"cz18700","Sunbury, PA",50357
"cz36301","Pocatello, ID",50344
"cz26301","Devils Lake, ND",50304
"cz26406","Wolf Point, MT",50294
"cz27601","Rapid City, SD",50274
"cz36303","Jackson, ID & WY",50221
"cz26106","Centerville, IA",50214
"cz39400","Seattle, WA",50191
"cz24000","Kenosha, WI",50177
"cz34701","Honolulu, HI",50172
"cz3400","Houma, LA",50140
"cz34402","Bozeman, MT",50119
"cz28303","Oshkosh, NE",50113
"cz31007","Dumas, TX",50085
"cz20200","Burlington, VT",50019
"cz21101","Rice Lake, WI",49991
"cz32702","Stephenville, TX",49981
"cz21003","Ironwood, MI & WI",49939
"cz29104","Salina, KS",49910
"cz11402","Marinette, MI & WI",49886
"cz24802","Springfield, IL",49765
"cz28602","Norton, KS",49764
"cz34202","Shelby, MT",49756
"cz37602","Winnemucca, NV",49735
"cz29002","Coldwater, KS",49703
"cz17700","Syracuse, NY",49702
"cz16200","Altoona, PA",49699
"cz34401","Dillon, MT",49679
"cz21004","Rhinelander, WI",49660
"cz27009","Chamberlain, SD",49603
"cz26303","Turtle Mountain UT, ND",49564
"cz11301","Fredericksburg, VA",49546
"cz23500","Decatur, IL",49506
"cz21001","Ashland, WI",49466
"cz31001","Garden City, KS",49419
"cz29203","Manhattan, KS",49367
"cz13502","Defiance, OH",49321
"cz39100","Kennewick, OR & WA",49305
